 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   sendto                                            0x3fd138fd       0x000038fd      20 (0x14)        wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   sethostname                                       0x3fd1390b       0x0000390b      1105 (0x451)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   SetServiceA                                       0x3fd134d3       0x000034d3      1117 (0x45d)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   SetServiceW                                       0x3fd134e7       0x000034e7      1118 (0x45e)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   setsockopt                                        0x3fd118e0       0x000018e0      21 (0x15)        wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   shutdown                                          0x3fd1391f       0x0000391f      22 (0x16)        wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   socket                                            0x3fd1392f       0x0000392f      23 (0x17)        wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   TransmitFile                                      0x3fd134fb       0x000034fb      1140 (0x474)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WEP                                               0x3fd13510       0x00003510      500 (0x1f4)      wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSAAsyncGetHostByAddr                             0x3fd1351b       0x0000351b      102 (0x66)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   WSAAsyncGetHostByName                             0x3fd13538       0x00003538      103 (0x67)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSAAsyncGetProtoByName                            0x3fd13555       0x00003555      105 (0x69)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSAAsyncGetProtoByNumber                          0x3fd13573       0x00003573      104 (0x68)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSAAsyncGetServByName                             0x3fd13593       0x00003593      107 (0x6b)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   WSAAsyncGetServByPort                             0x3fd135b0       0x000035b0      106 (0x6a)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSAAsyncSelect                                    0x3fd135cd       0x000035cd      101 (0x65)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSACancelAsyncRequest                             0x3fd135e3       0x000035e3      108 (0x6c)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSACancelBlockingCall                             0x3fd13600       0x00003600      113 (0x71)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   WSACleanup                                        0x3fd1361d       0x0000361d      116 (0x74)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSAGetLastError                                   0x3fd1362f       0x0000362f      111 (0x6f)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSAIsBlocking                                     0x3fd13646       0x00003646      114 (0x72)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   WSApSetPostRoutine                                0x3fd136cd       0x000036cd      1000 (0x3e8)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSARecvEx                                         0x3fd1365b       0x0000365b      1107 (0x453)     wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSASetBlockingHook                                0x3fd1366d       0x0000366d      109 (0x6d)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSASetLastError                                   0x3fd13687       0x00003687      112 (0x70)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

   WSAStartup                                        0x3fd1369e       0x0000369e      115 (0x73)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function
   WSAUnhookBlockingHook                             0x3fd136b0       0x000036b0      110 (0x6e)       wsock32.dll         C:\Windows\System32\wsock32.dll           Exported Function

