 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   lineGenerateDigitsA                               0x41c882ed       0x000082ed      68 (0x44)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGenerateDigitsW                               0x41c8826a       0x0000826a      69 (0x45)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGenerateTone                                  0x41c883bd       0x000083bd      70 (0x46)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressCaps                                0x41c885ff       0x000085ff      71 (0x47)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressCapsA                               0x41c884ee       0x000084ee      72 (0x48)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressCapsW                               0x41c8845b       0x0000845b      73 (0x49)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressID                                  0x41c88760       0x00008760      74 (0x4a)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressIDA                                 0x41c88688       0x00008688      75 (0x4b)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressIDW                                 0x41c8860f       0x0000860f      76 (0x4c)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressStatus                              0x41c88883       0x00008883      77 (0x4d)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressStatusA                             0x41c887d4       0x000087d4      78 (0x4e)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAddressStatusW                             0x41c88770       0x00008770      79 (0x4f)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAgentActivityListA                         0x41c8896a       0x0000896a      80 (0x50)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAgentActivityListW                         0x41c88893       0x00008893      81 (0x51)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAgentCapsA                                 0x41c88b11       0x00008b11      82 (0x52)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAgentCapsW                                 0x41c88a29       0x00008a29      83 (0x53)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAgentGroupListA                            0x41c88cb8       0x00008cb8      84 (0x54)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAgentGroupListW                            0x41c88be1       0x00008be1      85 (0x55)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAgentInfo                                  0x41c88d77       0x00008d77      86 (0x56)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAgentSessionInfo                           0x41c88e4e       0x00008e4e      87 (0x57)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAgentSessionList                           0x41c88f25       0x00008f25      88 (0x58)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAgentStatusA                               0x41c890d3       0x000090d3      89 (0x59)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAgentStatusW                               0x41c88ffc       0x00008ffc      90 (0x5a)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAppPriority                                0x41c893bc       0x000093bc      91 (0x5b)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAppPriorityA                               0x41c89298       0x00009298      92 (0x5c)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetAppPriorityW                               0x41c89187       0x00009187      93 (0x5d)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetCallInfo                                   0x41c8950b       0x0000950b      94 (0x5e)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetCallInfoA                                  0x41c89431       0x00009431      95 (0x5f)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetCallInfoW                                  0x41c893cc       0x000093cc      96 (0x60)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetCallStatus                                 0x41c8951b       0x0000951b      97 (0x61)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetConfRelatedCalls                           0x41c89580       0x00009580      98 (0x62)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetCountry                                    0x41c89725       0x00009725      99 (0x63)        tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetCountryA                                   0x41c896bb       0x000096bb      100 (0x64)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetCountryW                                   0x41c895e5       0x000095e5      101 (0x65)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetDevCaps                                    0x41c89bb7       0x00009bb7      102 (0x66)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetDevCapsA                                   0x41c89b30       0x00009b30      103 (0x67)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetDevCapsW                                   0x41c89a9c       0x00009a9c      104 (0x68)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetDevConfig                                  0x41c89d56       0x00009d56      105 (0x69)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetDevConfigA                                 0x41c89c7e       0x00009c7e      106 (0x6a)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetDevConfigW                                 0x41c89bc7       0x00009bc7      107 (0x6b)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineGetGroupListA                                 0x41c89d66       0x00009d66      108 (0x6c)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

