 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   __iscsymf                                         0x75b311f6       0x000511f6      152 (0x98)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __lc_codepage                                     0x75b80004       0x000a0004      153 (0x99)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __lc_collate_cp                                   0x75b80008       0x000a0008      154 (0x9a)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __lc_handle                                       0x75b80010       0x000a0010      155 (0x9b)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __lconv_init                                      0x75b45ed1       0x00065ed1      156 (0x9c)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_acos                                  0x75b638fb       0x000838fb      157 (0x9d)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_acosf                                 0x75b6556d       0x0008556d      158 (0x9e)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_asin                                  0x75b66585       0x00086585      159 (0x9f)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_asinf                                 0x75b68185       0x00088185      160 (0xa0)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_atan                                  0x75b691ad       0x000891ad      161 (0xa1)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_atan2                                 0x75b69e38       0x00089e38      162 (0xa2)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_atanf                                 0x75b6af0d       0x0008af0d      163 (0xa3)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_cos                                   0x75b6b675       0x0008b675      164 (0xa4)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_cosf                                  0x75b6c0a5       0x0008c0a5      165 (0xa5)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_exp                                   0x75b6c659       0x0008c659      166 (0xa6)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_expf                                  0x75b6cd2d       0x0008cd2d      167 (0xa7)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_log                                   0x75b6d129       0x0008d129      168 (0xa8)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_log10                                 0x75b6dc45       0x0008dc45      169 (0xa9)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_log10f                                0x75b6e7a5       0x0008e7a5      170 (0xaa)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_logf                                  0x75b6ed91       0x0008ed91      171 (0xab)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_pow                                   0x75b6f381       0x0008f381      172 (0xac)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_powf                                  0x75b73715       0x00093715      173 (0xad)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_sin                                   0x75b7438d       0x0009438d      174 (0xae)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_sinf                                  0x75b74de5       0x00094de5      175 (0xaf)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_tan                                   0x75b753a1       0x000953a1      176 (0xb0)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __libm_sse2_tanf                                  0x75b76c95       0x00096c95      177 (0xb1)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __mb_cur_max                                      0x75b83148       0x000a3148      178 (0xb2)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p___argc                                        0x75b33aa9       0x00053aa9      179 (0xb3)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p___argv                                        0x75b33ab4       0x00053ab4      180 (0xb4)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p___initenv                                     0x75af0251       0x00010251      181 (0xb5)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p___mb_cur_max                                  0x75b33b01       0x00053b01      182 (0xb6)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p___wargv                                       0x75b33abf       0x00053abf      183 (0xb7)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p___winitenv                                    0x75b33ae0       0x00053ae0      184 (0xb8)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__acmdln                                       0x75b33a88       0x00053a88      185 (0xb9)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__amblksiz                                     0x75b33a9e       0x00053a9e      186 (0xba)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__commode                                      0x75af27c3       0x000127c3      187 (0xbb)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__daylight                                     0x75b6201e       0x0008201e      188 (0xbc)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__dstbias                                      0x75b62029       0x00082029      189 (0xbd)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__environ                                      0x75afe6cf       0x0001e6cf      190 (0xbe)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__fileinfo                                     0x75b33ad5       0x00053ad5      191 (0xbf)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__fmode                                        0x75af27ce       0x000127ce      192 (0xc0)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__iob                                          0x75aec0f6       0x0000c0f6      193 (0xc1)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__mbcasemap                                    0x75b33af6       0x00053af6      194 (0xc2)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__mbctype                                      0x75b33aeb       0x00053aeb      195 (0xc3)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__osver                                        0x75b33b32       0x00053b32      196 (0xc4)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__pctype                                       0x75b33b3d       0x00053b3d      197 (0xc5)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__pgmptr                                       0x75b33b79       0x00053b79      198 (0xc6)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__pwctype                                      0x75b33b6e       0x00053b6e      199 (0xc7)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__timezone                                     0x75b33b8f       0x00053b8f      200 (0xc8)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__tzname                                       0x75b33b9a       0x00053b9a      201 (0xc9)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__wcmdln                                       0x75b33a93       0x00053a93      202 (0xca)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__wenviron                                     0x75b33aca       0x00053aca      203 (0xcb)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__winmajor                                     0x75b33ba5       0x00053ba5      204 (0xcc)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__winminor                                     0x75b33bb0       0x00053bb0      205 (0xcd)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__winver                                       0x75b33bbb       0x00053bbb      206 (0xce)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __p__wpgmptr                                      0x75b33b84       0x00053b84      207 (0xcf)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __pctype_func                                     0x75b06039       0x00026039      208 (0xd0)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __pioinfo                                         0x75b80500       0x000a0500      209 (0xd1)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __pwctype_func                                    0x75b45f03       0x00065f03      210 (0xd2)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __pxcptinfoptrs                                   0x75b45ced       0x00065ced      211 (0xd3)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   __RTCastToVoid                                    0x75b365ed       0x000565ed      123 (0x7b)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

